3.0242763,1.1718324,-1.0443472
3.1056755,1.3929504,-1.2666094
3.154148,1.6093962,-1.4814752
3.2245195,1.705033,-1.5475109
3.2493923,1.76595,-1.5560629
3.2652943,1.7901293,-1.5246656
3.293253,1.7532111,-1.4501077
3.3244827,1.6568451,-1.3427325
3.3516734,1.5273587,-1.2040591
-1.2283065,0.035075933,0.00074323453
-1.2077805,-0.07951972,0.13333373
-1.1047943,-0.13964349,0.21822374
-0.931838,-0.15920012,0.22738026
-0.75429964,-0.16931424,0.22144198
-0.56946295,-0.16909677,0.21058778
-0.39300588,-0.1743701,0.21932182
-0.21285415,-0.18749069,0.23297416
-0.06594109,-0.18144904,0.20603482
0.07386273,-0.1870515,0.20212261
0.2165156,-0.18899529,0.2143119
0.3748774,-0.18317334,0.21269199
0.540701,-0.16170818,0.19221248
0.7059642,-0.12933995,0.1703465
0.86399907,-0.11698544,0.1567414
1.0090832,-0.1018824,0.14726569
1.1441134,-0.081201956,0.12673205
1.2907169,-0.050954893,0.09576717
1.4640027,-0.114836544,0.21175607
1.6370778,-0.12884948,0.21119894
1.8168197,-0.10890232,0.18190123
1.9976441,-0.057332963,0.121160164
2.1864014,-0.01987496,0.0738883
2.3701637,0.05069256,0.032981627
2.5498576,0.24550661,0.19518435
2.7690349,0.63789594,0.47139874
2.9686425,1.08275,0.7962153
